trial_id,pair_id,condition,surface,desired_velocity_mps,command_velocity_mps,measured_actual_velocity_mps,absolute_tracking_error_mps,relative_tracking_error,yaw_drift_deg,imu_yaw_drift_deg,extraction_status,n_samples,state_log_path,notes
M23A_S2_marble_floor_V045_dire_R2,M23A_S2_marble_floor_V045_P2,direct,,0.45,0.45,0.4425,0.0075,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V045_dire_R2.csv,
M23A_S2_marble_floor_V045_dire_R3,M23A_S2_marble_floor_V045_P3,direct,,0.45,0.45,0.4425,0.0075,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V045_dire_R3.csv,
M23A_S2_marble_floor_V050_comp_R1,M23A_S2_marble_floor_V050_P1,compensated,,0.5,0.4518249304121061,0.4443,0.0557,-0.1114,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_comp_R1.csv,
M23A_S2_marble_floor_V050_comp_R2,M23A_S2_marble_floor_V050_P2,compensated,,0.5,0.4518249304121061,0.4443,0.0557,-0.1114,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_comp_R2.csv,
M23A_S2_marble_floor_V050_comp_R3,M23A_S2_marble_floor_V050_P3,compensated,,0.5,0.4518249304121061,0.4443,0.0557,-0.1114,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_comp_R3.csv,
M23A_S2_marble_floor_V050_dire_R1,M23A_S2_marble_floor_V050_P1,direct,,0.5,0.5,0.491667,0.008333,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_dire_R1.csv,
M23A_S2_marble_floor_V050_dire_R2,M23A_S2_marble_floor_V050_P2,direct,,0.5,0.5,0.491667,0.008333,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_dire_R2.csv,
M23A_S2_marble_floor_V050_dire_R3,M23A_S2_marble_floor_V050_P3,direct,,0.5,0.5,0.491667,0.008333,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_dire_R3.csv,
M23A_S2_marble_floor_V055_comp_R1,M23A_S2_marble_floor_V055_P1,compensated,,0.55,0.5029348230314161,0.49455,0.05545,-0.100818,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_comp_R1.csv,
M23A_S2_marble_floor_V055_comp_R2,M23A_S2_marble_floor_V055_P2,compensated,,0.55,0.5029348230314161,0.49455,0.05545,-0.100818,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_comp_R2.csv,
M23A_S2_marble_floor_V055_comp_R3,M23A_S2_marble_floor_V055_P3,compensated,,0.55,0.5029348230314161,0.49455,0.05545,-0.100818,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_comp_R3.csv,
M23A_S2_marble_floor_V055_dire_R1,M23A_S2_marble_floor_V055_P1,direct,,0.55,0.55,0.540833,0.009167,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_dire_R1.csv,
M23A_S2_marble_floor_V055_dire_R2,M23A_S2_marble_floor_V055_P2,direct,,0.55,0.55,0.540833,0.009167,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_dire_R2.csv,
M23A_S2_marble_floor_V055_dire_R3,M23A_S2_marble_floor_V055_P3,direct,,0.55,0.55,0.540833,0.009167,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_dire_R3.csv,
